iter	Logloss
0	0.6662306425
1	0.6427457975
2	0.6195815715
3	0.6007956403
4	0.5837814641
5	0.5690329583
6	0.5551441967
7	0.5429980246
8	0.5330314812
9	0.5239342362
10	0.5153376342
11	0.5081167213
12	0.5030122342
13	0.4970101731
14	0.4915946872
15	0.4871018726
16	0.4822139505
17	0.4776813722
18	0.4749942843
19	0.4714211614
20	0.4679126634
21	0.4645824489
22	0.4615739177
23	0.4587419741
24	0.4563928136
25	0.4537987572
26	0.4515588189
27	0.4496464575
28	0.447753316
29	0.445931124
30	0.444403817
31	0.4432367077
32	0.4416914129
33	0.440346145
34	0.4391582071
35	0.4378496347
36	0.4365517693
37	0.4351247845
38	0.4340188478
39	0.4334035995
40	0.4321285586
41	0.4309311787
42	0.4301615075
43	0.4291929736
44	0.4282142688
45	0.4273816986
46	0.4265577116
47	0.4258032211
48	0.4251266051
49	0.4243564881
50	0.4235555459
51	0.422833358
52	0.4223470085
53	0.4217075509
54	0.420818378
55	0.4203680522
56	0.4196412196
57	0.4190862171
58	0.4184999148
59	0.4183397844
60	0.4182609231
61	0.4173444263
62	0.4169100182
63	0.4163304267
64	0.4156337932
65	0.4155498383
66	0.4150101384
67	0.4147176266
68	0.4140636715
69	0.4134104146
70	0.4129253526
71	0.4123771256
72	0.4119491264
73	0.411462127
74	0.4110220044
75	0.4106674097
76	0.4100777632
77	0.4097608421
78	0.4094249824
79	0.4089003817
80	0.4081902199
81	0.407471895
82	0.4070535099
83	0.4067726251
84	0.4062209118
85	0.4058303275
86	0.4053668835
87	0.4049614587
88	0.4044421798
89	0.4041626231
90	0.4038573555
91	0.4034156185
92	0.4029482151
93	0.4025802826
94	0.4019731606
95	0.4015555241
96	0.4012682729
97	0.4009744005
98	0.4005470807
99	0.4000913126
100	0.3998134312
101	0.3991068548
102	0.3985494201
103	0.3982247669
104	0.397848459
105	0.3975436501
106	0.3971337021
107	0.3967203587
108	0.3961083666
109	0.395634874
110	0.3953271493
111	0.3947617239
112	0.3943182559
113	0.393898219
114	0.3934609903
115	0.3929150869
116	0.3925046093
117	0.3922574625
118	0.3917917733
119	0.3914549356
120	0.3911804119
121	0.3908300119
122	0.3903636396
123	0.3903582489
124	0.3899098212
125	0.3896501978
126	0.3891008206
127	0.3888387735
128	0.3884531966
129	0.3879760665
130	0.3875160431
131	0.3871815236
132	0.386891659
133	0.3866410516
134	0.3861755771
135	0.3858192818
136	0.385599503
137	0.3850858478
138	0.3848007633
139	0.3844124295
140	0.3841305791
141	0.3839834263
142	0.3836688774
143	0.3835455389
144	0.3831818565
145	0.3829637442
146	0.3825677342
147	0.3823227277
148	0.3819505722
149	0.3816486426
150	0.3811688627
151	0.3809271299
152	0.3804426649
153	0.3801143934
154	0.3796579418
155	0.3794174942
156	0.3792257178
157	0.378662109
158	0.378208364
159	0.3780371381
160	0.378031148
161	0.3776155955
162	0.3772595462
163	0.376960388
164	0.3764691212
165	0.37615078
166	0.3758454931
167	0.3755614
168	0.37523209
169	0.3750890662
170	0.3746248202
171	0.3742379196
172	0.3739352571
173	0.3735339099
174	0.3731747085
175	0.3729054509
176	0.3725193379
177	0.3721500398
178	0.3718923737
179	0.3713838832
180	0.3710525502
181	0.3706259013
182	0.3702436836
183	0.3699611368
184	0.369691512
185	0.3693027945
186	0.36888066
187	0.3685538566
188	0.3682316777
189	0.3677429199
190	0.367472828
191	0.3671394805
192	0.3665966407
193	0.3663120398
194	0.3660065742
195	0.3656785906
196	0.3652973194
197	0.3647810598
198	0.3642835188
199	0.3640580795
200	0.3637286972
201	0.363472883
202	0.3631771447
203	0.3627820819
204	0.3625853321
205	0.3623665127
206	0.3619781102
207	0.3616916341
208	0.3612794583
209	0.3609217304
210	0.3606456077
211	0.3603001536
212	0.3600138378
213	0.3595517648
214	0.3592955475
215	0.3588302243
216	0.3584719652
217	0.3581423715
218	0.3578914754
219	0.3575053342
220	0.3572507016
221	0.3568664804
222	0.3565110189
223	0.356144401
224	0.3557576459
225	0.3554415437
226	0.355007083
227	0.3547580806
228	0.3545517441
229	0.3543747222
230	0.354141895
231	0.3539331754
232	0.3535862552
233	0.3533186335
234	0.3530321556
235	0.35280193
236	0.3525244112
237	0.3523061351
238	0.3521254002
239	0.3518022492
240	0.3514561015
241	0.3509956812
242	0.3507849073
243	0.3504825643
244	0.3501487756
245	0.3497805344
246	0.3494778324
247	0.3491324244
248	0.348827796
249	0.348491776
250	0.3481238437
251	0.3478736178
252	0.3474131498
253	0.3471209162
254	0.3467845526
255	0.3465262746
256	0.3462395886
257	0.3460161076
258	0.3456357452
259	0.3453845688
260	0.3450433875
261	0.3448150193
262	0.3444235744
263	0.344069771
264	0.343864118
265	0.3435903293
266	0.3432766289
267	0.3428046543
268	0.3424785031
269	0.3423451483
270	0.3422121039
271	0.3418859689
272	0.341636552
273	0.3414081231
274	0.3412147613
275	0.3409610315
276	0.3407273303
277	0.3403225415
278	0.3401076218
279	0.3397325505
280	0.3394391714
281	0.3391969158
282	0.3390166276
283	0.3386677973
284	0.3384431874
285	0.338198354
286	0.337897828
287	0.3376899679
288	0.3374735617
289	0.337260673
290	0.337067496
291	0.3368652702
292	0.3365255324
293	0.3362260718
294	0.3358943249
295	0.3356237426
296	0.3353481408
297	0.3351639014
298	0.3349578098
299	0.3347395814
300	0.3344102889
301	0.334073022
302	0.3336748051
303	0.3335067119
304	0.3332069744
305	0.3329687641
306	0.3327384422
307	0.3324125456
308	0.3321648486
309	0.3319406462
310	0.3316735373
311	0.3313827509
312	0.3311683256
313	0.330857785
314	0.330627521
315	0.3303480145
316	0.3301405125
317	0.3298771111
318	0.3296716144
319	0.3293627798
320	0.3290855061
321	0.3289274159
322	0.3286962089
323	0.3283086917
324	0.3281335571
325	0.3278730552
326	0.3276955001
327	0.3275554826
328	0.3272560453
329	0.3270274467
330	0.3267491931
331	0.326486442
332	0.3261587105
333	0.3259920407
334	0.3257578609
335	0.3254213499
336	0.3250386128
337	0.3247638611
338	0.3246012055
339	0.3244263855
340	0.3241139662
341	0.3239459874
342	0.3236633699
343	0.323394707
344	0.323072336
345	0.3228851277
346	0.3226365183
347	0.3224236015
348	0.3222409032
349	0.3220244849
350	0.3218658165
351	0.3215052252
352	0.3211815982
353	0.3209895109
354	0.320765759
355	0.3205826017
356	0.3203751797
357	0.3201312661
358	0.3198469698
359	0.3196520496
360	0.3193119903
361	0.3190936166
362	0.3188104776
363	0.3186125116
364	0.3184090507
365	0.318167808
366	0.3180155234
367	0.3177711662
368	0.3175502714
369	0.3173193876
370	0.3171468846
371	0.3169766227
372	0.3167356795
373	0.3165895695
374	0.316408353
375	0.316315271
376	0.3160133056
377	0.3158227028
378	0.3155903689
379	0.315379886
380	0.3152481682
381	0.3149918226
382	0.3148126325
383	0.3146608537
384	0.3145350344
385	0.3143326425
386	0.3141499103
387	0.3138532617
388	0.3135529833
389	0.3132868132
390	0.3131233567
391	0.3128990996
392	0.3126784084
393	0.3124803349
394	0.3122611666
395	0.3120202094
396	0.311727715
397	0.3114965293
398	0.3113462168
399	0.3111268943
400	0.3109476843
401	0.3107690217
402	0.3106008007
403	0.3104477924
404	0.3101672323
405	0.3100356777
406	0.309881694
407	0.30972306
408	0.3095269732
409	0.3092575167
410	0.3090927604
411	0.3088427394
412	0.3086011226
413	0.308330701
414	0.3080782824
415	0.3079272438
416	0.307702107
417	0.3074200471
418	0.3072447864
419	0.3070679521
420	0.306671213
421	0.3064975199
422	0.3063366804
423	0.30610838
424	0.3059536153
425	0.3056524487
426	0.3054548645
427	0.305250348
428	0.3050655806
429	0.3049578073
430	0.3047801276
431	0.3045837543
432	0.304308941
433	0.3040415825
434	0.3038964442
435	0.30373454
436	0.3035075284
437	0.3033437033
438	0.3031547812
439	0.302843902
440	0.3026759216
441	0.3025186586
442	0.3022644034
443	0.3021321993
444	0.3019359069
445	0.3016652568
446	0.3014268423
447	0.3012946021
448	0.3010489452
449	0.3009243238
450	0.3007323917
451	0.3005313726
452	0.3003397999
453	0.3002246287
454	0.3000851029
455	0.2999246468
456	0.2996023559
457	0.2993518051
458	0.2991722175
459	0.299046435
460	0.2988963262
461	0.2986893718
462	0.2984625657
463	0.2982864803
